SourceID ra dec _25um_Flux_8pix _25um_Flux_8pix_err _25um_Flux_G2D _25um_Flux_G2D_err fwhm25 _37um_Flux_10_5pix _37um_Flux_10_5pix_err _37um_Flux_G2D _37um_Flux_G2D_err fwhm37 _25ApPhot_qflag _37ApPhot_qflag G2D25_qflag G2D37_qflag bkg_qflag25 bkg_qflag37 vExtFlag25 vExtFlag37
SFGC0.190+0.0362 266.482625 -28.755261 2.322 0.1888 2.567 0.07717 3.595 "" "" 1.63 0.1425 3.794 001 011 0 0.0 0 0 0 0
SFGC359.646-0.0559 266.248 -29.267675 55.63 0.4403 65.2 0.5054 10.1 103.3 1.336 89.07 1.377 11.89 000 000 0 0.0 1 0 0 0
SFGC0.346-0.0271 266.637125 -28.654381 82.1 0.1807 82.5 0.1197 5.825 144.6 0.5536 131.3 0.36 7.506 000 000 0 0.0 0 0 0 0
SFGC0.336-0.0266 266.630083 -28.663458 1.062 0.1339 1.078 0.05531 3.634 1.492 0.4267 0.4488 0.08597 2.326 000 100 0 0.0 0 0 0 0
SFGC0.236-0.0517 266.595833 -28.761314 3.814 0.1395 4.352 0.1571 9.909 10.4 0.497 8.643 0.4724 10.97 000 000 0 0.0 0 0 0 0
SFGC0.542-0.0445 266.7695 -28.496231 5.712 0.1736 5.567 0.1018 5.157 14.42 0.4685 13.11 0.3112 7.667 000 000 0 0.0 0 0 0 0
SFGC359.453+0.0281 266.05025 -29.388136 1.044 0.0885 0.7546 0.03585 3.563 0.8618 0.1961 0.5253 0.07245 4.264 000 000 0 0.0 0 0 0 0
SFGC359.450+0.0063 266.069667 -29.402219 1.38 0.1062 1.277 0.03483 2.884 4.683 0.1959 4.267 0.1041 6.135 000 000 0 0.0 0 0 0 0
SFGC0.012-0.0785 266.488958 -28.966453 21.95 0.1769 24.72 0.1732 8.609 41.91 0.4334 36.92 0.4025 10.72 000 000 0 0.0 0 0 0 0
SFGC0.077-0.0927 266.541458 -28.918381 4.794 0.1498 4.38 0.07401 3.653 23.86 0.3607 20.17 0.1547 4.952 000 000 0 0.0 0 0 0 0
SFGC0.040-0.0562 266.483667 -28.931267 0.5322 0.1709 0.8685 0.07223 3.717 "" "" "" "" 26 001 111 0 1.0 0 0 0 0
SFGC0.079-0.1146 266.563667 -28.928461 5.501 0.1481 4.643 0.06026 2.914 4.178 0.505 4.337 0.1654 3.781 000 000 0 0.0 0 0 0 0
SFGC0.115-0.0099 266.483125 -28.843094 2.302 0.1531 2.875 0.218 12.53 8.846 0.4998 7.284 0.7451 17.21 000 000 0 0.0 0 0 1 1
SFGC0.209-0.0016 266.5305 -28.758892 26.18 0.2871 28.97 0.2376 7.28 69.19 0.7991 61.03 0.696 10.06 000 000 0 0.0 0 0 0 0
SFGC0.141+0.0490 266.441333 -28.790003 17.9 0.6143 21.84 0.9448 13.53 59.13 2.001 49.82 2.396 13.82 000 000 0 0.0 1 0 1 0
SFGC359.423+0.0152 266.044667 -29.420603 6.085 0.08727 6.149 0.06022 6.07 25.95 0.3264 23.09 0.2186 7.729 000 000 0 0.0 0 0 0 0
SFGC0.108-0.0157 266.484375 -28.852472 4.2 0.1794 4.213 0.1032 5.058 3.963 0.4041 4.268 0.2269 6.482 000 000 0 0.0 0 0 0 0
SFGC0.079-0.1023 266.551667 -28.922042 1.158 0.1169 0.8942 0.04562 3.432 "" "" "" "" "" 000 111 0 1.0 0 0 0 0
SFGC0.083-0.1056 266.557125 -28.920547 "" "" 0.6509 0.07156 4.621 2.056 0.3903 1.832 0.2807 8.303 011 000 0 0.0 0 0 0 0
SFGC0.000-0.0755 266.478667 -28.975372 1.081 0.1258 1.151 0.06712 4.693 5.758 0.382 5.39 0.2363 7.14 000 000 0 0.0 0 0 0 0
SFGC359.434-0.0241 266.089792 -29.431853 0.8686 0.1116 0.8695 0.07174 5.657 "" "" 0.3042 0.0638 3.253 000 111 0 0.0 0 0 0 0
SFGC0.185-0.0606 266.57425 -28.809503 1.735 0.1632 1.887 0.05879 3.169 "" "" 1.007 0.1262 3.261 000 011 0 0.0 0 0 0 0
SFGC0.303-0.0416 266.625125 -28.699461 1.117 0.1383 1.289 0.1095 6.965 4.399 0.4363 "" "" "" 000 000 0 1.0 0 0 0 0
SFGC0.147-0.0307 266.522542 -28.826411 10.63 0.3398 12.88 0.4782 12.38 22.34 0.8728 19.63 1.089 14.4 000 000 0 0.0 1 0 1 1
SFGC0.177-0.0549 266.563958 -28.813394 3.905 0.1097 3.383 0.03916 2.72 3.97 0.3096 3.088 0.1083 4.04 000 000 0 0.0 0 0 0 0
SFGC0.178-0.0528 266.562083 -28.811978 1.154 0.1699 0.7497 0.0598 3.096 "" "" "" "" 26 000 111 0 1.0 0 0 0 0
SFGC359.699-0.0174 266.242583 -29.201694 "" "" 0.2941 0.02992 3.028 "" "" 0.2325 0.05505 3.442 011 111 0 0.0 0 0 0 0
SFGC359.951-0.0355 266.410708 -28.996111 7.378 1.191 9.399 1.968 14.54 54.89 2.994 "" "" "" 000 000 0 1.0 1 1 1 0
